,world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
195,196,newcastle university,united kingdom,30.9,84.3,27.5,81.5,34.7,49.2,20174.0,15.2,29%,50:50:00
196,196,"st george’s, university of london",united kingdom,25.6,69.5,18.1,100.0,37.7,49.2,2958.0,13.4,17%,61:39:00
197,198,university of trento,italy,30.8,55.9,27.4,87.7,47.1,49.1,16841.0,43.2,8%,51:49:00
198,199,paris diderot university – paris 7,france,30.5,64.9,22.9,91.0,29,48.9,27756.0,14.8,17%,63:37:00
199,200,queen’s university belfast,united kingdom,34.1,93.4,33.3,68.9,35.7,48.8,17940.0,17.9,30%,54:46:00
200,201-250,aalborg university,denmark,25.1,71.0,28.4,73.8,43.7,-,17422.0,15.9,15%,48:52:00
201,201-250,"birkbeck, university of london",united kingdom,33.5,89.9,35.1,66.3,28.5,-,9454.0,17.2,38%,55:45:00
202,201-250,university of bologna,italy,39.3,39.9,29.5,73.0,34.5,-,85532.0,22.9,7%,56:44:00
203,201-250,university at buffalo,usa,36.5,60.6,37.9,62.0,43.8,-,25668.0,19.0,19%,47:53:00
204,201-250,university of calgary,canada,33.9,70.1,36.7,67.8,52,-,28341.0,16.5,17%,53:47:00
205,201-250,chalmers university of technology,sweden,36.6,77.6,35.3,52.2,79.5,-,8605.0,11.6,15%,30 : 70
206,201-250,city university of hong kong,hong kong,32.1,81.6,26.7,76.8,50.1,-,10015.0,7.1,28%,51:49:00
207,201-250,copenhagen business school,denmark,19.3,88.5,26.5,79.4,35.3,-,18293.0,42.7,19%,48:52:00
208,201-250,dalhousie university,canada,30.4,78.3,29.4,65.2,50.3,-,15064.0,14.4,18%,55:45:00
209,201-250,university of duisburg-essen,germany,32.3,48.5,27.0,81.3,82.3,-,36051.0,46.6,11%,49:51:00
210,201-250,école normale supérieure de lyon,france,41.6,65.6,30.0,69.0,31.7,-,2218.0,8.0,14%,49:51:00
211,201-250,florida state university,usa,38.5,41.6,40.1,64.7,32,-,41226.0,31.8,7%,55:45:00
